Timestamp,Machine_ID,Machine_Type,Section,Machine_Speed_RPM,Temp_C,Humidity_%,Machine_State,Shift,Energy_kWh,Power_Factor,Motor_Current_A,Voltage_Variation_%,Output_kg,Yarn_Breaks_Count,Waste_kg,Safety_Interlock_Triggered,Auto_Shutdown_Flag,Emergency_Stop_Count,Current_Ratio,Mechanical_Friction_Index,Wear_Score,Degradation_Phase,Component_Health_%,RUL_Hours,Material_Buffer_Level_kg,Yarn_Count_Ne,Speed_Override_Flag,Torque_Load_Index,Efficiency_Index
2024-01-01 00:00:00,MCH-001,Compact,Carding,1362,66.6,70,IDLE,A,34.89,0.84,68.9,1.52,133,3,4.0,0,0,0,1.256372187568505,1.1154463379322117,31.8,Early Wear,68.2,1364.0,386,24,0,1.13,0.79
2024-01-01 01:00:00,MCH-022,Open End,Carding,1410,64.2,49,RUN,C,36.9,0.89,54.0,3.85,107,0,4.57,0,0,0,0.9995979918289504,1.0273728761694918,20.5,Early Wear,79.5,1590.0,498,30,1,1.19,0.76
2024-01-01 02:00:00,MCH-022,Compact,Spinning,1100,67.2,72,RUN,A,49.16,0.93,64.4,-0.8,95,1,3.81,0,0,0,1.192113160625637,1.21048176545975,32.9,Early Wear,67.1,1342.0,498,30,1,1.19,0.76
2024-01-01 03:00:00,MCH-021,Compact,Spinning,993,66.4,66,RUN,B,39.95,0.93,60.7,-0.22,154,1,2.5,0,0,0,1.0877079352742425,1.089826788233858,23.2,Early Wear,76.8,1536.0,289,36,0,0.88,0.91
2024-01-01 04:00:00,MCH-006,Ring Spinning,Drawing,1203,55.0,57,RUN,B,45.0,0.91,46.8,-3.29,98,4,6.84,0,0,0,0.8603454100999662,0.9589319447123515,29.6,Early Wear,70.4,1408.0,344,24,0,0.94,0.92
2024-01-01 05:00:00,MCH-019,Ring Spinning,Roving,1017,66.6,68,RUN,C,39.5,0.88,46.6,-0.25,70,3,5.34,0,0,0,0.8526989935956083,1.095408618800454,33.5,Early Wear,66.5,1330.0,537,20,0,1.19,0.74
2024-01-01 06:00:00,MCH-027,Ring Spinning,Carding,1421,61.4,65,RUN,B,43.21,0.91,57.6,-3.1,119,0,5.13,0,0,0,1.0426187498093291,0.9089814521473796,15.7,Healthy,84.3,1686.0,486,36,0,0.74,0.93
2024-01-01 07:00:00,MCH-020,Compact,Roving,1327,59.4,46,STOP,C,34.95,0.94,56.8,-2.65,134,2,4.56,0,0,0,1.021203914914656,0.947761636389454,20.5,Early Wear,79.5,1590.0,277,24,0,0.82,0.71
2024-01-01 08:00:00,MCH-018,Compact,Drawing,917,64.6,63,RUN,A,38.68,0.94,66.8,0.53,122,0,4.67,0,1,0,1.2276920506486222,1.0297945694986717,20.8,Early Wear,79.2,1584.0,258,20,0,0.63,0.79
2024-01-01 09:00:00,MCH-015,Compact,Spinning,1159,75.0,69,IDLE,B,38.37,0.87,51.3,-1.78,133,2,4.73,0,0,0,0.9310824885790596,1.0779483515326878,39.9,Early Wear,60.1,1202.0,421,30,1,1.18,0.85
2024-01-01 10:00:00,MCH-007,Compact,Drawing,972,65.6,63,IDLE,A,33.4,0.85,54.9,1.12,146,3,4.0,0,0,0,0.9852814042306388,1.1832315324198903,33.9,Early Wear,66.1,1322.0,483,20,0,1.17,0.88
2024-01-01 11:00:00,MCH-015,Ring Spinning,Drawing,1131,77.1,46,IDLE,B,42.72,0.9,50.8,-3.93,92,1,4.25,0,0,0,0.9220076105227336,1.0838104809931888,39.8,Early Wear,60.2,1204.0,421,30,1,1.18,0.85
2024-01-01 12:00:00,MCH-017,Ring Spinning,Spinning,1016,73.1,51,IDLE,A,43.42,0.93,56.7,3.05,160,1,3.24,0,0,0,1.0390374460492369,1.10513642644691,33.9,Early Wear,66.1,1322.0,615,24,0,1.0,0.81
2024-01-01 13:00:00,MCH-013,Ring Spinning,Spinning,1280,62.7,63,RUN,B,38.93,0.83,66.5,2.57,78,1,3.16,0,0,0,1.2212053638996236,1.075847956745858,22.1,Early Wear,77.9,1558.0,443,40,0,1.0,0.89
2024-01-01 14:00:00,MCH-013,Compact,Roving,1269,75.5,72,RUN,B,49.93,0.89,50.1,-0.8,132,1,4.98,0,0,0,0.9200359207724984,0.9810567912366628,34.1,Early Wear,65.9,1318.0,443,40,0,1.0,0.89
2024-01-01 15:00:00,MCH-030,Compact,Spinning,1413,73.8,68,RUN,A,41.7,0.92,68.4,-2.38,77,2,4.36,0,0,0,1.2442291417398663,1.0157948276122888,34.5,Early Wear,65.5,1310.0,398,30,0,0.91,0.75
2024-01-01 16:00:00,MCH-018,Open End,Carding,1235,66.2,67,IDLE,C,40.57,0.93,68.9,0.39,72,4,7.04,0,0,0,1.2662871600253007,0.9481313519525978,31.0,Early Wear,69.0,1380.0,258,20,0,0.63,0.79
2024-01-01 17:00:00,MCH-020,Compact,Drawing,1277,70.0,64,RUN,A,42.86,0.89,64.4,-1.87,139,1,3.56,0,0,0,1.1578438753609837,0.9952928168343108,25.1,Early Wear,74.9,1498.0,277,24,0,0.82,0.71
2024-01-01 18:00:00,MCH-028,Ring Spinning,Drawing,1317,63.0,74,RUN,A,46.58,0.92,52.7,-3.59,135,3,7.32,0,0,0,0.9644527936007756,0.9091000959516328,26.1,Early Wear,73.9,1478.0,316,20,0,0.75,0.73
2024-01-01 19:00:00,MCH-028,Ring Spinning,Roving,1174,74.7,58,RUN,A,37.49,0.88,56.8,-2.17,85,3,3.2,0,0,0,1.0394861228941945,0.9567859955300126,32.4,Early Wear,67.6,1352.0,316,20,0,0.75,0.73
2024-01-01 20:00:00,MCH-015,Ring Spinning,Carding,1493,66.4,55,RUN,C,40.81,0.91,47.7,0.43,80,4,3.64,0,0,0,0.8657433665735117,0.9675297576512102,25.4,Early Wear,74.6,1492.0,421,30,1,1.18,0.85
2024-01-01 21:00:00,MCH-022,Compact,Spinning,1055,57.8,65,RUN,C,30.38,0.85,52.6,2.37,132,0,1.93,0,0,0,0.9736824883370886,1.1319151932425973,20.5,Early Wear,79.5,1590.0,498,30,1,1.19,0.76
2024-01-01 22:00:00,MCH-024,Ring Spinning,Spinning,1155,63.5,54,RUN,A,42.57,0.83,65.8,2.53,152,3,1.95,0,0,0,1.195810203542162,1.031712130505113,21.5,Early Wear,78.5,1570.0,328,30,1,0.81,0.85
2024-01-01 23:00:00,MCH-022,Compact,Roving,1342,70.1,61,RUN,B,40.26,0.87,52.0,1.79,62,2,6.84,0,0,1,0.9625758439834337,1.0314448429251966,35.6,Early Wear,64.4,1288.0,498,30,1,1.19,0.76
2024-01-02 00:00:00,MCH-014,Ring Spinning,Drawing,939,67.9,61,RUN,C,49.79,0.87,65.4,2.45,164,2,1.94,0,1,0,1.1670179640718563,1.0568289129538695,24.3,Early Wear,75.7,1514.0,645,40,0,0.71,0.83
2024-01-02 01:00:00,MCH-011,Ring Spinning,Drawing,1255,68.6,62,IDLE,B,45.41,0.85,63.8,-1.74,135,4,2.01,0,0,1,1.1699219456877104,1.109860311865805,32.0,Early Wear,68.0,1360.0,595,30,0,1.11,0.77
2024-01-02 02:00:00,MCH-026,Compact,Drawing,963,65.9,69,RUN,C,37.85,0.92,64.2,-1.81,161,4,2.15,0,0,0,1.1767639630422968,1.1775318512930713,32.3,Early Wear,67.7,1354.0,641,24,1,0.98,0.81
2024-01-02 03:00:00,MCH-003,Ring Spinning,Roving,1285,70.4,54,STOP,B,41.9,0.89,46.1,0.99,152,3,7.2,0,0,0,0.8301856685320902,0.934580047834244,33.9,Early Wear,66.1,1322.0,451,24,0,0.93,0.94
2024-01-02 04:00:00,MCH-004,Compact,Spinning,900,72.3,54,RUN,B,43.0,0.88,45.2,2.53,70,1,1.94,0,0,0,0.8173773473864427,0.9787269735896148,23.9,Early Wear,76.1,1522.0,415,24,0,0.78,0.89
2024-01-02 05:00:00,MCH-007,Compact,Drawing,1146,68.5,63,RUN,C,43.22,0.89,55.2,-1.6,155,1,4.47,0,0,0,0.9906654556198772,1.10930809395425,30.8,Early Wear,69.2,1384.0,483,20,0,1.17,0.88
2024-01-02 06:00:00,MCH-018,Open End,Carding,1371,78.7,67,RUN,A,40.22,0.96,64.6,-1.11,128,1,4.46,0,0,0,1.1872590789206736,0.9066189260393244,33.4,Early Wear,66.6,1332.0,258,20,0,0.63,0.79
